NXN	ENSG00000167693	219489_s_at
PHLDA2	ENSG00000181649	209802_at,209803_s_at
GP5	ENSG00000178732	211525_s_at,207926_at
SF3B3	ENSG00000189091	200688_at,200687_s_at
PPP6C	ENSG00000119414	203529_at,206174_s_at
ENG	ENSG00000106991	201809_s_at,201808_s_at
AK1	ENSG00000106992	202588_at,202587_s_at
INSL3	ENSG00000248099	214572_s_at,214400_at
TRAFD1	ENSG00000135148	35254_at,202837_at
RASA3	ENSG00000185989	206220_s_at,206221_at
ZNF93	ENSG00000184635	208119_s_at,215758_x_at
AKAP10	ENSG00000108599	213396_s_at,205045_at
B4GALT7	ENSG00000027847	53076_at,222191_s_at
USP48	ENSG00000090686	220078_at,220079_s_at
DNAJB5	ENSG00000137094	212817_at,207453_s_at
SPAG8	ENSG00000137098	206815_at,206816_s_at
IQGAP1	ENSG00000140575	210840_s_at,213446_s_at
CENPN	ENSG00000166451	222118_at,219555_s_at
PDIA4	ENSG00000155660	211048_s_at,208658_at
RING1	ENSG00000204227	35685_at,208371_s_at
IL23A	ENSG00000110944	220054_at,216857_at
NEFH	ENSG00000100285	33767_at,204412_s_at
HMGXB4	ENSG00000100281	212597_s_at,212596_s_at
OAZ1	ENSG00000104904	200077_s_at,215952_s_at
TNFAIP2	ENSG00000185215	202510_s_at,202509_s_at
BICD1	ENSG00000151746	214806_at,204741_at
IGF1R	ENSG00000140443	208441_at,203628_at
SPCS3	ENSG00000129128	221844_x_at,218817_at
RAD51D	ENSG00000185379	37793_r_at,209965_s_at
AMBRA1	ENSG00000110497	52731_at,219141_s_at
ZNF440	ENSG00000171295	215892_at,216291_at
CLEC4A	ENSG00000111729	221724_s_at,219947_at
PRKAB1	ENSG00000111725	201834_at,201835_s_at
FERMT1	ENSG00000101311	218796_at,60474_at
BCAT2	ENSG00000105552	215654_at,203576_at
SEMA4G	ENSG00000095539	219194_at,203483_at
FOXO1	ENSG00000150907	202724_s_at,202723_s_at
FBXL5	ENSG00000118564	209004_s_at,209005_at
WWP2	ENSG00000198373	210200_at,204022_at
NUDT21	ENSG00000167005	213461_at,202697_at
DEGS1	ENSG00000143753	207431_s_at,209250_at
COPS2	ENSG00000166200	209838_at,202467_s_at
METAP2	ENSG00000111142	213899_at,209861_s_at
UBXN7	ENSG00000163960	217100_s_at,212840_at
SNRK	ENSG00000163788	207474_at,209481_at
DUS2L	ENSG00000167264	47105_at,219486_at
ARL6IP4	ENSG00000182196	218216_x_at,220597_s_at
MSL3	ENSG00000005302	207551_s_at,214009_at
CXCR6	ENSG00000172215	206974_at,211469_s_at
ZNF22	ENSG00000165512	218005_at,218006_s_at
BMP2	ENSG00000125845	205289_at,205290_s_at
ZNF133	ENSG00000125846	216960_s_at,37254_at
HES2	ENSG00000069812	216674_at,214521_at
NEK2	ENSG00000117650	204641_at,211080_s_at
BUD31	ENSG00000106245	205690_s_at,215815_at
IFRD1	ENSG00000006652	202146_at,202147_s_at
OAS1	ENSG00000089127	205552_s_at,202869_at
CBX6	ENSG00000183741	202047_s_at,202048_s_at
GPSM3	ENSG00000213654	204265_s_at,214847_s_at
CNPPD1	ENSG00000115649	200070_at,207511_s_at
EDF1	ENSG00000107223	209059_s_at,209058_at
MAP3K9	ENSG00000006432	214969_at,213927_at
EPHA1	ENSG00000146904	215804_at,205977_s_at
DHRS7	ENSG00000100612	201789_at,213868_s_at
PPM1A	ENSG00000100614	203966_s_at,210407_at
RRM2	ENSG00000171848	209773_s_at,201890_at
POU4F1	ENSG00000152192	206940_s_at,211341_at
VWA5A	ENSG00000110002	210102_at,205011_at
DUSP10	ENSG00000143507	215501_s_at,221563_at
DNAI2	ENSG00000171595	220636_at,221668_s_at
DNM2	ENSG00000079805	202253_s_at,216024_at
RORA	ENSG00000069667	210479_s_at,210426_x_at
FOXP3	ENSG00000049768	221333_at,221334_s_at
MRS2	ENSG00000124532	218536_at,218538_s_at
ADAP1	ENSG00000105963	219150_s_at,90265_at
H2AFV	ENSG00000105968	212205_at,202487_s_at
WSB2	ENSG00000176871	201760_s_at,213734_at
PARP2	ENSG00000129484	204752_x_at,215773_x_at
BRD4	ENSG00000141867	202103_at,202102_s_at
TFDP2	ENSG00000114126	203588_s_at,203589_s_at
ALAD	ENSG00000148218	218487_at,218489_s_at
POU2F2	ENSG00000028277	211771_s_at,211660_at
PPME1	ENSG00000214517	49077_at,217841_s_at
ATP5SL	ENSG00000105341	45828_at,218038_at
ZNF330	ENSG00000109445	209814_at,213760_s_at
SSRP1	ENSG00000149136	200956_s_at,200957_s_at
NDUFA6	ENSG00000184983	202000_at,202001_s_at
UBXN1	ENSG00000162191	210623_at,201871_s_at
GPR124	ENSG00000020181	221814_at,65718_at
BTN3A2	ENSG00000186470	212613_at,209846_s_at
CYFIP2	ENSG00000055163	220999_s_at,215785_s_at
SUMO3	ENSG00000184900	200740_s_at,200739_s_at
KHNYN	ENSG00000100441	212355_at,212356_at
LMAN1	ENSG00000074695	203293_s_at,203294_s_at
UBTF	ENSG00000108312	214881_s_at,202692_s_at
PRR5	ENSG00000186654	219168_s_at,47069_at
CBFB	ENSG00000067955	202370_s_at,206788_s_at
STK17B	ENSG00000081320	205214_at,217503_at
PHC3	ENSG00000173889	220328_at,215521_at
P2RX6	ENSG00000099957	211147_s_at,206880_at
PANK3	ENSG00000120137	221751_at,218433_at
RALBP1	ENSG00000017797	202845_s_at,202844_s_at
FCER2	ENSG00000104921	206760_s_at,206759_at
GLUD2	ENSG00000182890	210447_at,215794_x_at
G3BP1	ENSG00000145907	222187_x_at,201514_s_at
RAB11B	ENSG00000185236	217793_at,34478_at
SOCS6	ENSG00000170677	206020_at,214462_at
MYT1	ENSG00000196132	215822_x_at,210341_at
MINA	ENSG00000170854	213188_s_at,213189_at
INSR	ENSG00000171105	207851_s_at,213792_s_at
MTM1	ENSG00000171100	204101_at,36920_at
ST20	ENSG00000180953	210242_x_at,217104_at
EVC	ENSG00000072840	210887_s_at,219432_at
ATXN7L3B	ENSG00000253719	212113_at,212114_at
YTHDC1	ENSG00000083896	212455_at,214814_at
ADCY10	ENSG00000143199	214547_at,217305_s_at
ABCB9	ENSG00000150967	214209_s_at,207321_s_at
SLCO3A1	ENSG00000176463	219229_at,210542_s_at
LCP2	ENSG00000043462	205269_at,205270_s_at
DOPEY1	ENSG00000083097	40612_at,213271_s_at
APOM	ENSG00000204444	205682_x_at,214910_s_at
NUCKS1	ENSG00000069275	222027_at,217802_s_at
FBXO41	ENSG00000163013	44040_at,221945_at
MAP2K4	ENSG00000065559	203266_s_at,203265_s_at
CCT2	ENSG00000166226	201947_s_at,201946_s_at
TMEM194A	ENSG00000166881	212619_at,212621_at
NAB2	ENSG00000166886	212803_at,216017_s_at
TDRD3	ENSG00000083544	208089_s_at,214028_x_at
PTP4A3	ENSG00000184489	209695_at,206574_s_at
ENGASE	ENSG00000167280	220349_s_at,65635_at
CCNI	ENSG00000118816	208655_at,208656_s_at
TFG	ENSG00000114354	221871_s_at,217839_at
EFR3A	ENSG00000132294	212150_at,212149_at
PGF	ENSG00000119630	209652_s_at,215179_x_at
NEK9	ENSG00000119638	212299_at,214738_s_at
MARCH7	ENSG00000136536	202654_x_at,202653_s_at
VCL	ENSG00000035403	200930_s_at,200931_s_at
MAPK4	ENSG00000141639	204708_at,204707_s_at
OAZ2	ENSG00000180304	201365_at,201364_s_at
ZNF154	ENSG00000179909	217242_at,216677_at
MRP63	ENSG00000173141	204386_s_at,204387_x_at
VCP	ENSG00000165280	208649_s_at,208648_at
DSTN	ENSG00000125868	201022_s_at,201021_s_at
PSMA7	ENSG00000101182	216088_s_at,201114_x_at
PDE8A	ENSG00000073417	212522_at,212521_s_at
ABCD1	ENSG00000101986	216418_at,205142_x_at
NUMB	ENSG00000133961	207545_s_at,209073_s_at
KIAA0141	ENSG00000081791	201977_s_at,201978_s_at
CYTH4	ENSG00000100055	219183_s_at,211521_s_at
ACSM3	ENSG00000005187	205942_s_at,210377_at
SOX9	ENSG00000125398	202936_s_at,202935_s_at
PSMC2	ENSG00000161057	201067_at,201068_s_at
GRIN2C	ENSG00000161509	210400_at,217573_at
TMEM161A	ENSG00000064545	43977_at,218745_x_at
ZNF821	ENSG00000102984	41397_at,205494_at
RCN2	ENSG00000117906	201486_at,201485_s_at
EEA1	ENSG00000102189	204841_s_at,204840_s_at
RC3H2	ENSG00000056586	220201_at,220202_s_at
SLA	ENSG00000155926	203760_s_at,203761_at
FUT7	ENSG00000180549	210506_at,217696_at
DLG5	ENSG00000151208	201681_s_at,210469_at
DOHH	ENSG00000129932	208141_s_at,213949_s_at
MAN1A1	ENSG00000111885	221760_at,208116_s_at
CHD7	ENSG00000171316	220619_at,218829_s_at
TYMS	ENSG00000176890	202589_at,217684_at
CLIC4	ENSG00000169504	201559_s_at,221881_s_at
PSMB4	ENSG00000159377	202244_at,202243_s_at
HNRNPUL2	ENSG00000214753	66053_at,222264_at
TCEB1	ENSG00000154582	202824_s_at,202823_at
OSBPL1A	ENSG00000141447	209485_s_at,208158_s_at
HNRNPUL1	ENSG00000105323	209675_s_at,208713_at
TGFB1	ENSG00000105329	203084_at,203085_s_at
DSCC1	ENSG00000136982	219000_s_at,216646_at
PRKAA1	ENSG00000132356	209799_at,214917_at
DERL1	ENSG00000136986	218172_s_at,219402_s_at
PLAA	ENSG00000137055	209532_at,209533_s_at
CSPG4	ENSG00000173546	214297_at,204736_s_at
AASS	ENSG00000008311	214829_at,210852_s_at
FBN1	ENSG00000166147	202766_s_at,202765_s_at
LYPLA2	ENSG00000011009	202292_x_at,215566_x_at
EHBP1	ENSG00000115504	212653_s_at,212650_at
ZBTB40	ENSG00000184677	203958_s_at,203959_s_at
ADH6	ENSG00000172955	207544_s_at,214261_s_at
LRRC40	ENSG00000066557	215063_x_at,218577_at
H6PD	ENSG00000049239	221892_at,206933_s_at
COL5A2	ENSG00000204262	221730_at,221729_at
PLEKHB2	ENSG00000115762	201410_at,201411_s_at
NOL3	ENSG00000140939	59625_at,221566_s_at
LMF2	ENSG00000100258	31837_at,212682_s_at
DAPK1	ENSG00000196730	211214_s_at,203139_at
HLA-DQA1	ENSG00000196735	203290_at,213831_at
PCMT1	ENSG00000120265	210156_s_at,208857_s_at
STXBP6	ENSG00000168952	220995_at,220994_s_at
CTAGE5	ENSG00000150527	215930_s_at,204055_s_at
SEC23A	ENSG00000100934	212887_at,204344_s_at
PRRC2B	ENSG00000130723	212068_s_at,212069_s_at
RHOT1	ENSG00000126858	218323_at,222148_s_at
NIPA2	ENSG00000140157	212129_at,212133_at
SDHAF1	ENSG00000205138	221855_at,44669_at
RPS6KA6	ENSG00000072133	220737_at,220738_s_at
ERGIC3	ENSG00000125991	215257_at,216032_s_at
PILRA	ENSG00000085514	219788_at,222218_s_at
PSAP	ENSG00000197746	200866_s_at,200871_s_at
ENTPD4	ENSG00000197217	204076_at,204077_x_at
SLC43A3	ENSG00000134802	213113_s_at,210692_s_at
FUT3	ENSG00000171124	214088_s_at,216010_x_at
PCDH9	ENSG00000184226	219738_s_at,219737_s_at
RIMS2	ENSG00000176406	206137_at,215478_at
CEP164	ENSG00000110274	204250_s_at,204251_s_at
SF1	ENSG00000168066	210172_at,208313_s_at
DMWD	ENSG00000185800	33768_at,213231_at
DHRS12	ENSG00000102796	204801_s_at,204800_s_at
DBP	ENSG00000105516	209783_at,209782_s_at
LLGL1	ENSG00000131899	206124_s_at,206123_at
ENDOD1	ENSG00000149218	212570_at,212573_at
PWP1	ENSG00000136045	201606_s_at,201607_at
RPL29	ENSG00000162244	200823_x_at,213969_x_at
THADA	ENSG00000115970	220212_s_at,54632_at
ELF3	ENSG00000163435	210827_s_at,201510_at
GMEB2	ENSG00000101216	222251_s_at,44146_at
DFNB31	ENSG00000095397	47553_at,221887_s_at
ARHGEF40	ENSG00000165801	58780_s_at,220326_s_at
SURF1	ENSG00000148290	217646_at,204295_at
SNX2	ENSG00000205302	202113_s_at,202114_at
SIRT4	ENSG00000089163	220047_at,222248_s_at
ATP10B	ENSG00000118322	214070_s_at,220920_at
SORL1	ENSG00000137642	203509_at,212560_at
TOP3B	ENSG00000100038	215781_s_at,213660_s_at
GOLGA4	ENSG00000144674	201567_s_at,215203_at
CHPF2	ENSG00000033100	55093_at,221799_at
SIM2	ENSG00000159263	208157_at,206558_at
MIIP	ENSG00000116691	48659_at,218551_at
LCMT2	ENSG00000168806	204012_s_at,204013_s_at
OSBP	ENSG00000110048	201799_s_at,201800_s_at
UBB	ENSG00000170315	200633_at,217144_at
CDK1	ENSG00000170312	210559_s_at,203214_x_at
TRIM62	ENSG00000116525	219272_at,58308_at
IBTK	ENSG00000005700	215086_at,210970_s_at
PLXDC1	ENSG00000161381	219700_at,214081_at
BAG1	ENSG00000107262	202387_at,211475_s_at
LHX2	ENSG00000106689	211219_s_at,206140_at
SLC1A1	ENSG00000106688	206396_at,213664_at
NSUN5P2	ENSG00000106133	213460_x_at,213842_x_at
GRIA1	ENSG00000155511	211520_s_at,209793_at
LSM5	ENSG00000106355	202904_s_at,202903_at
TMEFF1	ENSG00000241697	205123_s_at,205122_at
ABCC10	ENSG00000124574	213485_s_at,215873_x_at
ZNF638	ENSG00000075292	211257_x_at,213775_x_at
ALOXE3	ENSG00000179148	222383_s_at,207708_at
AGAP2	ENSG00000135439	215080_s_at,206152_at
UNC5B	ENSG00000107731	41856_at,213100_at
MTF1	ENSG00000188786	205323_s_at,205322_s_at
ELL	ENSG00000105656	204095_s_at,204096_s_at
PPFIBP2	ENSG00000166387	215959_at,212841_s_at
FARP1	ENSG00000152767	201911_s_at,201910_at
UTRN	ENSG00000152818	213022_s_at,213023_at
DGCR2	ENSG00000070413	214198_s_at,202099_s_at
CCT6A	ENSG00000146731	201327_s_at,201326_at
PSPH	ENSG00000146733	205048_s_at,205194_at
INPP5K	ENSG00000132376	202782_s_at,202781_s_at
PTPRJ	ENSG00000149177	210173_at,214137_at
MYH10	ENSG00000133026	212372_at,213067_at
TRMT61A	ENSG00000166166	221907_at,52741_at
KPNA4	ENSG00000186432	213567_at,209653_at
MRC2	ENSG00000011028	209280_at,37408_at
ZNF142	ENSG00000115568	204474_at,37586_at
PPARD	ENSG00000112033	210636_at,208044_s_at
MSH6	ENSG00000116062	211450_s_at,211449_at
LAMB1	ENSG00000091136	201505_at,211651_s_at
TUBD1	ENSG00000108423	221326_s_at,210389_x_at
COL11A2	ENSG00000204248	213870_at,216993_s_at
FBXW2	ENSG00000119402	209630_s_at,218941_at
UBAP2	ENSG00000137073	221839_s_at,219192_at
RNFT2	ENSG00000135119	221909_at,221908_at
PLK3	ENSG00000173846	204958_at,215462_at
SVEP1	ENSG00000165124	213247_at,219552_at
FXYD2	ENSG00000137731	205674_x_at,207434_s_at
GMFB	ENSG00000197045	202543_s_at,202544_at
CSPP1	ENSG00000104218	220072_at,221925_s_at
OSBPL2	ENSG00000130703	209221_s_at,209222_s_at
SRGN	ENSG00000122862	201858_s_at,201859_at
PLAU	ENSG00000122861	205479_s_at,211668_s_at
INSIG1	ENSG00000186480	201627_s_at,201625_s_at
STOML1	ENSG00000067221	204701_s_at,33736_at
DAPK3	ENSG00000167657	203890_s_at,203891_s_at
ARL3	ENSG00000138175	202641_at,213433_at
CTNND1	ENSG00000198561	208862_s_at,211240_x_at
CACNG4	ENSG00000075461	221585_at,62987_r_at
GSDMB	ENSG00000073605	215659_at,219233_s_at
SLC27A2	ENSG00000140284	205768_s_at,205769_at
FBXW11	ENSG00000072803	209455_at,209456_s_at
ARG2	ENSG00000081181	203945_at,203946_s_at
MEF2C	ENSG00000081189	209199_s_at,209200_at
SPOCK2	ENSG00000107742	202523_s_at,202524_s_at
ARHGAP19	ENSG00000213390	212738_at,37577_at
DSC2	ENSG00000134755	204751_x_at,204750_s_at
LCAT	ENSG00000213398	204428_s_at,216390_at
IL1R1	ENSG00000115594	202948_at,215561_s_at
TADA3	ENSG00000171148	215273_s_at,211221_at
PCCA	ENSG00000175198	203860_at,216533_at
FKBP11	ENSG00000134285	219117_s_at,219118_at
BIRC5	ENSG00000089685	210334_x_at,202094_at
ATP5O	ENSG00000241837	216954_x_at,200818_at
PTPN18	ENSG00000072135	203555_at,213521_at
SRSF9	ENSG00000111786	201698_s_at,200044_at
HMGN1	ENSG00000205581	200943_at,200944_s_at
ATP6V1A	ENSG00000114573	201971_s_at,201972_at
FASN	ENSG00000169710	217006_x_at,212218_s_at
PIDD	ENSG00000177595	221640_s_at,219019_at
MARK4	ENSG00000007047	221560_at,55065_at
CPSF6	ENSG00000111605	202469_s_at,202470_s_at
TFPI2	ENSG00000105825	209277_at,209278_s_at
HES1	ENSG00000114315	203394_s_at,203393_at
KIAA0226L	ENSG00000102445	219471_at,44790_s_at
GAS6	ENSG00000183087	1598_g_at,202177_at
EHBP1L1	ENSG00000173442	221755_at,91703_at
FAIM3	ENSG00000162894	221602_s_at,221601_s_at
FLNB	ENSG00000136068	208613_s_at,208614_s_at
PLEK	ENSG00000115956	203471_s_at,203470_s_at
PRKAR1B	ENSG00000188191	212555_at,212559_at
ROR1	ENSG00000185483	211057_at,205805_s_at
RPL23	ENSG00000125691	214744_s_at,200888_s_at
FAHD2A	ENSG00000115042	218504_at,222056_s_at
RBCK1	ENSG00000125826	221827_at,207713_s_at
DNAJC9	ENSG00000213551	213088_s_at,213092_x_at
ZNF292	ENSG00000188994	212366_at,212368_at
RRAD	ENSG00000166592	204803_s_at,204802_at
CITED2	ENSG00000164442	209357_at,207980_s_at
BTN3A1	ENSG00000026950	207485_x_at,209770_at
CDC40	ENSG00000168438	203376_at,203377_s_at
KRT17	ENSG00000128422	212236_x_at,205157_s_at
TNFSF11	ENSG00000120659	211153_s_at,210643_at
SERPINB1	ENSG00000021355	212268_at,213572_s_at
GABARAPL1	ENSG00000139112	208869_s_at,208868_s_at
PIP5K1B	ENSG00000107242	217477_at,205632_s_at
CACNA1C	ENSG00000151067	208020_s_at,211592_s_at
COPB1	ENSG00000129083	201359_at,201358_s_at
TEAD4	ENSG00000197905	41037_at,204281_at
DIP2C	ENSG00000151240	212503_s_at,212504_at
SEC11A	ENSG00000140612	216274_s_at,201290_at
MED1	ENSG00000125686	203497_at,203496_s_at
DDX27	ENSG00000124228	215693_x_at,221780_s_at
OAS2	ENSG00000111335	204972_at,206553_at
XRCC5	ENSG00000079246	208642_s_at,208643_s_at
SRI	ENSG00000075142	208920_at,208921_s_at
MS4A1	ENSG00000156738	210356_x_at,217418_x_at
ARAP2	ENSG00000047365	213618_at,214102_at
DDX49	ENSG00000105671	210811_s_at,31807_at
GLUD1	ENSG00000148672	200947_s_at,200946_x_at
RTN1	ENSG00000139970	203485_at,210222_s_at
AAGAB	ENSG00000103591	202851_at,202852_s_at
GAK	ENSG00000178950	40225_at,202281_at
KCTD12	ENSG00000178695	212188_at,212192_at
CYR61	ENSG00000142871	201289_at,210764_s_at
PRKACB	ENSG00000142875	202742_s_at,202741_at
ZDHHC17	ENSG00000186908	217486_s_at,212982_at
MOB4	ENSG00000115540	202918_s_at,202919_at
RBM3	ENSG00000102317	208319_s_at,222026_at
PPP3R1	ENSG00000221823	204507_s_at,204506_at
ATP8A2	ENSG00000132932	219660_s_at,219659_at
NRL	ENSG00000129535	206596_s_at,206597_at
FBXO28	ENSG00000143756	202271_at,202272_s_at
BTG2	ENSG00000159388	201236_s_at,201235_s_at
TIMM8A	ENSG00000126953	205217_at,210800_at
HS6ST1	ENSG00000136720	206997_s_at,214165_s_at
PHF7	ENSG00000010318	215622_x_at,221611_s_at
BTN2A2	ENSG00000124508	205299_s_at,205298_s_at
TBCE	ENSG00000116957	203715_at,203714_s_at
SPATS2L	ENSG00000196141	215617_at,222154_s_at
FTSJ1	ENSG00000068438	205324_s_at,213937_s_at
WDR45	ENSG00000196998	209216_at,209217_s_at
STYK1	ENSG00000060140	221696_s_at,220030_at
TCF20	ENSG00000100207	215511_at,212931_at
DMC1	ENSG00000100206	208386_x_at,208382_s_at
TIMM44	ENSG00000104980	203093_s_at,203092_at
ADAM8	ENSG00000151651	205180_s_at,205179_s_at
SLK	ENSG00000065613	206874_s_at,206875_s_at
RBMXL2	ENSG00000170748	207207_at,207208_at
PSMA2	ENSG00000106588	201317_s_at,201316_at
SEMA5A	ENSG00000112902	205405_at,213169_at
HMGA1	ENSG00000137309	206074_s_at,210457_x_at
ABCG1	ENSG00000160179	211113_s_at,204567_s_at
ASAP3	ENSG00000088280	219103_at,222236_s_at
TBC1D9	ENSG00000109436	212956_at,212960_at
B3GNTL1	ENSG00000175711	215055_at,213589_s_at
PPP3CC	ENSG00000120910	32541_at,207000_s_at
FLOT2	ENSG00000132589	211299_s_at,201350_at
GPRC5B	ENSG00000167191	203631_s_at,203632_s_at
NAA60	ENSG00000122390	218661_at,45526_g_at
HIST1H2BG	ENSG00000187990	215779_s_at,210387_at
CTNND2	ENSG00000169862	209617_s_at,209618_at
FTH1	ENSG00000167996	214211_at,200748_s_at
GNB5	ENSG00000069966	207124_s_at,211871_x_at
MT1X	ENSG00000187193	204326_x_at,208581_x_at
FECH	ENSG00000066926	203115_at,203116_s_at
LRMP	ENSG00000118308	204674_at,35974_at
SLAMF8	ENSG00000158714	219386_s_at,219385_at
TAGLN2	ENSG00000158710	200916_at,210978_s_at
XIAP	ENSG00000101966	206537_at,206536_s_at
TTC9	ENSG00000133985	213172_at,213174_at
SLC35D2	ENSG00000130958	213083_at,213082_s_at
SNRPE	ENSG00000182004	203316_s_at,215450_at
HABP4	ENSG00000130956	209818_s_at,209819_at
BCR	ENSG00000186716	217223_s_at,202315_s_at
PPP1R12B	ENSG00000077157	201958_s_at,201957_at
NFKB2	ENSG00000077150	209636_at,211524_at
NDUFB2	ENSG00000090266	218201_at,218200_s_at
SFPQ	ENSG00000116560	201585_s_at,201586_s_at
ATRNL1	ENSG00000107518	213745_at,213744_at
ATP5S	ENSG00000125375	206992_s_at,206993_at
FBXO38	ENSG00000145868	221257_x_at,219608_s_at
CDKN2D	ENSG00000129355	213586_at,210240_s_at
RAB22A	ENSG00000124209	218360_at,213405_at
IRF5	ENSG00000128604	205469_s_at,205468_s_at
ESPL1	ENSG00000135476	204817_at,38158_at
HSF1	ENSG00000185122	202344_at,213756_s_at
CX3CL1	ENSG00000006210	823_at,203687_at
CDH1	ENSG00000039068	201131_s_at,201130_s_at
TAZ	ENSG00000102125	37278_at,203977_at
ZNF43	ENSG00000198521	206695_x_at,222136_x_at
DNASE2	ENSG00000105612	209831_x_at,214992_s_at
ANKRD6	ENSG00000135299	204672_s_at,204671_s_at
MTO1	ENSG00000135297	218716_x_at,222014_x_at
DCHS1	ENSG00000166341	222101_s_at,218892_at
PPP2R5B	ENSG00000068971	635_s_at,204611_s_at
ATXN7L1	ENSG00000146776	214342_at,214343_s_at
ZMYM6	ENSG00000163867	219925_at,219924_s_at
DDOST	ENSG00000244038	208675_s_at,208674_x_at
PPFIA3	ENSG00000177380	213368_x_at,215280_s_at
VPRBP	ENSG00000145041	204376_at,204377_s_at
BCL2L11	ENSG00000153094	208536_s_at,222343_at
NAAA	ENSG00000138744	214765_s_at,215178_x_at
MT1F	ENSG00000198417	213629_x_at,217165_x_at
LDLRAP1	ENSG00000157978	221790_s_at,57082_at
LPIN2	ENSG00000101577	202460_s_at,202459_s_at
CMKLR1	ENSG00000174600	210659_at,207652_s_at
DCTD	ENSG00000129187	201571_s_at,210137_s_at
FLT3LG	ENSG00000090554	206980_s_at,210607_at
IDE	ENSG00000119912	203328_x_at,203327_at
ALDH5A1	ENSG00000112294	203608_at,203609_s_at
OSBPL7	ENSG00000006025	208163_s_at,210344_at
COL1A2	ENSG00000164692	202403_s_at,202404_s_at
SHMT1	ENSG00000176974	209980_s_at,217304_at
AKR1C2	ENSG00000151632	211653_x_at,209699_x_at
BOP1	ENSG00000170727	212563_at,216397_s_at
WNT2B	ENSG00000134245	206459_s_at,206458_s_at
POGZ	ENSG00000143442	215281_x_at,212153_at
SORT1	ENSG00000134243	212807_s_at,212797_at
DVL3	ENSG00000161202	201907_x_at,201908_at
MARK2	ENSG00000072518	211082_x_at,203942_s_at
RASAL2	ENSG00000075391	217201_at,219026_s_at
PPP1R10	ENSG00000204569	201703_s_at,201702_s_at
LIMS1	ENSG00000169756	207198_s_at,212687_at
USP2	ENSG00000036672	207211_at,207213_s_at
NHLH2	ENSG00000177551	215228_at,214497_s_at
DUS4L	ENSG00000105865	205761_s_at,205762_s_at
NAA35	ENSG00000135040	219362_at,220925_at
REPS1	ENSG00000135597	215922_at,215201_at
AGTPBP1	ENSG00000135049	204499_at,204500_s_at
HSPG2	ENSG00000142798	201655_s_at,201654_s_at
SLC26A1	ENSG00000145217	205058_at,220733_at
HNRNPA0	ENSG00000177733	201054_at,201055_s_at
AQP1	ENSG00000240583	207542_s_at,209047_at
MBNL2	ENSG00000139793	205017_s_at,205018_s_at
ITM2A	ENSG00000078596	202746_at,202747_s_at
KIAA0101	ENSG00000166803	211713_x_at,202503_s_at
NPR2	ENSG00000159899	214066_x_at,204310_s_at
RPS17	ENSG00000184779	216348_at,201665_x_at
CGGBP1	ENSG00000163320	214050_at,206861_s_at
REST	ENSG00000084093	204535_s_at,212920_at
TJP3	ENSG00000105289	213412_at,35148_at
PRKD2	ENSG00000105287	209282_at,38269_at
KDELR2	ENSG00000136240	200700_s_at,200699_at
AOX1	ENSG00000138356	205083_at,205082_s_at
IL1A	ENSG00000115008	208200_at,210118_s_at
ZNF419	ENSG00000105136	219826_at,58367_s_at
FGF2	ENSG00000138685	204421_s_at,204422_s_at
CKAP4	ENSG00000136026	200999_s_at,200998_s_at
SEPT8	ENSG00000164402	209000_s_at,208999_at
CSF2	ENSG00000164400	210228_at,210229_s_at
SMC5	ENSG00000198887	212926_at,212927_at
HSPA12A	ENSG00000165868	220763_at,214434_at
ENO1	ENSG00000074800	201231_s_at,217294_s_at
XIST	ENSG00000229807	214218_s_at,221728_x_at
GON4L	ENSG00000116580	219846_at,218873_at
STK3	ENSG00000104375	211078_s_at,204068_at
MAN2A2	ENSG00000196547	219999_at,202032_s_at
ETFDH	ENSG00000171503	205530_at,33494_at
TXNRD3	ENSG00000197763	221906_at,59631_at
CA5B	ENSG00000169239	207129_at,214082_at
HEXA	ENSG00000213614	215155_at,201765_s_at
CASP8	ENSG00000064012	213373_s_at,207686_s_at
RBBP9	ENSG00000089050	221439_at,221440_s_at
PGM3	ENSG00000013375	210041_s_at,221788_at
BTN3A3	ENSG00000111801	204821_at,38241_at
TSPAN31	ENSG00000135452	203227_s_at,203226_s_at
TRGV5	ENSG00000211697	217381_s_at,216298_at
TFCP2	ENSG00000135457	207627_s_at,209338_at
PEX14	ENSG00000142655	203503_s_at,33760_at
CXCR4	ENSG00000121966	209201_x_at,217028_at
GTDC1	ENSG00000121964	219770_at,220853_at
PIP4K2A	ENSG00000150867	212829_at,205570_at
MIPEP	ENSG00000027001	204305_at,36830_at
MAPK1	ENSG00000100030	212271_at,208351_s_at
RRM1	ENSG00000167325	201476_s_at,201477_s_at
DOCK10	ENSG00000135905	215151_at,219279_at
PPM1F	ENSG00000100034	37384_at,203063_at
TRIM44	ENSG00000166326	217760_at,217759_at
MAST4	ENSG00000069020	210958_s_at,40016_g_at
ZNF148	ENSG00000163848	203319_s_at,203318_s_at
FGF12	ENSG00000114279	207501_s_at,214589_at
COL7A1	ENSG00000114270	204136_at,217312_s_at
NPEPL1	ENSG00000215440	218821_at,218822_s_at
IFT74	ENSG00000096872	61732_r_at,219174_at
WAC	ENSG00000095787	217742_s_at,219679_s_at
RPS6KB1	ENSG00000108443	211578_s_at,204171_at
MAP3K13	ENSG00000073803	206249_at,211083_s_at
GHITM	ENSG00000165678	209249_s_at,209248_at
PEX10	ENSG00000157911	206351_s_at,206352_s_at
